t = 0
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 

t = 10
620.113 471.304 448.924 486.792 541.138 598.415 656.048 713.712 771.377 829.04 886.673 943.95 998.296 1036.16 1013.78 864.976 
471.304 322.495 300.115 337.983 392.33 449.607 507.24 564.903 622.568 680.231 737.864 795.141 849.487 887.356 864.976 716.167 
448.924 300.115 277.735 315.603 369.949 427.226 484.859 542.523 600.188 657.851 715.484 772.761 827.107 864.976 842.595 693.787 
486.792 337.983 315.603 353.472 407.818 465.095 522.728 580.391 638.056 695.719 753.352 810.629 864.976 902.844 880.464 731.655 
541.138 392.33 369.949 407.818 462.164 519.441 577.074 634.737 692.402 750.065 807.699 864.976 919.322 957.19 934.81 786.001 
598.415 449.607 427.226 465.095 519.441 576.718 634.351 692.014 749.679 807.342 864.976 922.253 976.599 1014.47 992.087 843.278 
656.048 507.24 484.859 522.728 577.074 634.351 691.984 749.647 807.312 864.976 922.609 979.886 1034.23 1072.1 1049.72 900.911 
